SVM_kfold_raw_balancedLinear_piT5
[K-Fold and balanced-linear - SVM] C =  0.0001 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.1562736792641604
[K-Fold and balanced-linear - SVM] C =  0.0001438449888287663 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.1516489931599413
[K-Fold and balanced-linear - SVM] C =  0.00020691380811147902 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.1503849974191292
[K-Fold and balanced-linear - SVM] C =  0.00029763514416313193 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.15024558833338242
[K-Fold and balanced-linear - SVM] C =  0.00042813323987193956 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.14611349101382254
[K-Fold and balanced-linear - SVM] C =  0.0006158482110660267 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.14316877452803714
[K-Fold and balanced-linear - SVM] C =  0.0008858667904100823 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.14202811376502478
[K-Fold and balanced-linear - SVM] C =  0.0012742749857031334 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.13872871532724781
[K-Fold and balanced-linear - SVM] C =  0.0018329807108324356 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.14070207497204307
[K-Fold and balanced-linear - SVM] C =  0.0026366508987303583 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.13590733381926212
[K-Fold and balanced-linear - SVM] C =  0.00379269019073225 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.1366013747418378
[K-Fold and balanced-linear - SVM] C =  0.005455594781168515 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.1334712802260831
[K-Fold and balanced-linear - SVM] C =  0.007847599703514606 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.1274431892953051
[K-Fold and balanced-linear - SVM] C =  0.011288378916846883 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.12560848760971705
[K-Fold and balanced-linear - SVM] C =  0.01623776739188721 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.12038169847136736
[K-Fold and balanced-linear - SVM] C =  0.023357214690901212 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.12002701651937575
[K-Fold and balanced-linear - SVM] C =  0.03359818286283781 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.12537714063552516
[K-Fold and balanced-linear - SVM] C =  0.04832930238571752 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.1174837020563441
[K-Fold and balanced-linear - SVM] C =  0.06951927961775606 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.11258094890717096
[K-Fold and balanced-linear - SVM] C =  0.1 , pi_t = 0.5 , prior =  0.5 , minDCF =  0.13402741431599113

[K-Fold and balanced-linear - SVM] C =  0.0001 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.6252422383090159
[K-Fold and balanced-linear - SVM] C =  0.0001438449888287663 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.6262289181314135
[K-Fold and balanced-linear - SVM] C =  0.00020691380811147902 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.631553654170525
[K-Fold and balanced-linear - SVM] C =  0.00029763514416313193 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.6307340248905309
[K-Fold and balanced-linear - SVM] C =  0.00042813323987193956 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.6155638226211674
[K-Fold and balanced-linear - SVM] C =  0.0006158482110660267 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.611123763420378
[K-Fold and balanced-linear - SVM] C =  0.0008858667904100823 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.6122337782205752
[K-Fold and balanced-linear - SVM] C =  0.0012742749857031334 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.6090999280721225
[K-Fold and balanced-linear - SVM] C =  0.0018329807108324356 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.6133078891721804
[K-Fold and balanced-linear - SVM] C =  0.0026366508987303583 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.5962876622358213
[K-Fold and balanced-linear - SVM] C =  0.00379269019073225 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.5970713876672233
[K-Fold and balanced-linear - SVM] C =  0.005455594781168515 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.5888225160095111
[K-Fold and balanced-linear - SVM] C =  0.007847599703514606 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.5854487560443153
[K-Fold and balanced-linear - SVM] C =  0.011288378916846883 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.601953259498596
[K-Fold and balanced-linear - SVM] C =  0.01623776739188721 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.5896702374220857
[K-Fold and balanced-linear - SVM] C =  0.023357214690901212 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.5698492098449255
[K-Fold and balanced-linear - SVM] C =  0.03359818286283781 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.6144740882375388
[K-Fold and balanced-linear - SVM] C =  0.04832930238571752 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.5789177107826318
[K-Fold and balanced-linear - SVM] C =  0.06951927961775606 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.5777863639887104
[K-Fold and balanced-linear - SVM] C =  0.1 , pi_t = 0.5 , prior =  0.9 , minDCF =  0.6921829359673638

[K-Fold and balanced-linear - SVM] C =  0.0001 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.31096233130449047
[K-Fold and balanced-linear - SVM] C =  0.0001438449888287663 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.30360594820111203
[K-Fold and balanced-linear - SVM] C =  0.00020691380811147902 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.2947258297995334
[K-Fold and balanced-linear - SVM] C =  0.00029763514416313193 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.2879876238382326
[K-Fold and balanced-linear - SVM] C =  0.00042813323987193956 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.27580735587233735
[K-Fold and balanced-linear - SVM] C =  0.0006158482110660267 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.2711512726787636
[K-Fold and balanced-linear - SVM] C =  0.0008858667904100823 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.26614125865973787
[K-Fold and balanced-linear - SVM] C =  0.0012742749857031334 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.26080720865153556
[K-Fold and balanced-linear - SVM] C =  0.0018329807108324356 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.2602671486695746
[K-Fold and balanced-linear - SVM] C =  0.0026366508987303583 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.25217300907901674
[K-Fold and balanced-linear - SVM] C =  0.00379269019073225 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.2505229342968584
[K-Fold and balanced-linear - SVM] C =  0.005455594781168515 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.24464882430669516
[K-Fold and balanced-linear - SVM] C =  0.007847599703514606 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.2408867319205344
[K-Fold and balanced-linear - SVM] C =  0.011288378916846883 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.2429987495245369
[K-Fold and balanced-linear - SVM] C =  0.01623776739188721 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.23325453515182074
[K-Fold and balanced-linear - SVM] C =  0.023357214690901212 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.2299244907512287
[K-Fold and balanced-linear - SVM] C =  0.03359818286283781 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.23290060432636872
[K-Fold and balanced-linear - SVM] C =  0.04832930238571752 , pi_t = 0.5 , prior =  0.1 , minDCF =  0.23092649355503383
