AAA
[K-Fold and linear - SVM] C =  0.0001  , prior =  0.5 , minDCF =  0.15507172657551796
[K-Fold and linear - SVM] C =  0.0001438449888287663  , prior =  0.5 , minDCF =  0.15414708980528996
[K-Fold and linear - SVM] C =  0.00020691380811147902  , prior =  0.5 , minDCF =  0.1545163436121495
[K-Fold and linear - SVM] C =  0.00029763514416313193  , prior =  0.5 , minDCF =  0.15362160167819697
[K-Fold and linear - SVM] C =  0.00042813323987193956  , prior =  0.5 , minDCF =  0.15277357981500655
[K-Fold and linear - SVM] C =  0.0006158482110660267  , prior =  0.5 , minDCF =  0.15041489225540466
[K-Fold and linear - SVM] C =  0.0008858667904100823  , prior =  0.5 , minDCF =  0.14921218844022266
[K-Fold and linear - SVM] C =  0.0012742749857031334  , prior =  0.5 , minDCF =  0.14802555873298773
[K-Fold and linear - SVM] C =  0.0018329807108324356  , prior =  0.5 , minDCF =  0.1456048281212162
[K-Fold and linear - SVM] C =  0.0026366508987303583  , prior =  0.5 , minDCF =  0.1438321694877978
[K-Fold and linear - SVM] C =  0.00379269019073225  , prior =  0.5 , minDCF =  0.14116476892042687
[K-Fold and linear - SVM] C =  0.005455594781168515  , prior =  0.5 , minDCF =  0.1387133923458403
[K-Fold and linear - SVM] C =  0.007847599703514606  , prior =  0.5 , minDCF =  0.135537328885863
[K-Fold and linear - SVM] C =  0.011288378916846883  , prior =  0.5 , minDCF =  0.1343506991786281
[K-Fold and linear - SVM] C =  0.01623776739188721  , prior =  0.5 , minDCF =  0.13297869144142385
[K-Fold and linear - SVM] C =  0.023357214690901212  , prior =  0.5 , minDCF =  0.1283831490469406
[K-Fold and linear - SVM] C =  0.03359818286283781  , prior =  0.5 , minDCF =  0.13062000388182196
[K-Fold and linear - SVM] C =  0.04832930238571752  , prior =  0.5 , minDCF =  0.11793107302332038
[K-Fold and linear - SVM] C =  0.06951927961775606  , prior =  0.5 , minDCF =  0.12050503344916706
[K-Fold and linear - SVM] C =  0.1  , prior =  0.5 , minDCF =  0.12007373659013788
[K-Fold and linear - SVM] C =  0.0001  , prior =  0.9 , minDCF =  0.6233776417871525
[K-Fold and linear - SVM] C =  0.0001438449888287663  , prior =  0.9 , minDCF =  0.6177323249409464
[K-Fold and linear - SVM] C =  0.00020691380811147902  , prior =  0.9 , minDCF =  0.6141342785910309
[K-Fold and linear - SVM] C =  0.00029763514416313193  , prior =  0.9 , minDCF =  0.6121104432427755
[K-Fold and linear - SVM] C =  0.00042813323987193956  , prior =  0.9 , minDCF =  0.6026136499521983
[K-Fold and linear - SVM] C =  0.0006158482110660267  , prior =  0.9 , minDCF =  0.607649052048262
[K-Fold and linear - SVM] C =  0.0008858667904100823  , prior =  0.9 , minDCF =  0.6027010810814059
[K-Fold and linear - SVM] C =  0.0012742749857031334  , prior =  0.9 , minDCF =  0.5978618732374816
[K-Fold and linear - SVM] C =  0.0018329807108324356  , prior =  0.9 , minDCF =  0.6106887109286508
[K-Fold and linear - SVM] C =  0.0026366508987303583  , prior =  0.9 , minDCF =  0.6086503037255275
[K-Fold and linear - SVM] C =  0.00379269019073225  , prior =  0.9 , minDCF =  0.6186258650724357
[K-Fold and linear - SVM] C =  0.005455594781168515  , prior =  0.9 , minDCF =  0.6023602198577427
[K-Fold and linear - SVM] C =  0.007847599703514606  , prior =  0.9 , minDCF =  0.6132933173173126
