QLR_Train_5fold
[K_Fold] λ = 0.00001 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.149460
[K_Fold] λ = 0.00002 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.146423
[K_Fold] λ = 0.00005 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.147672
[K_Fold] λ = 0.00013 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.147271
[K_Fold] λ = 0.00030 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.147918
[K_Fold] λ = 0.00070 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.147964
[K_Fold] λ = 0.00162 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.147363
[K_Fold] λ = 0.00379 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.146268
[K_Fold] λ = 0.00886 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.147594
[K_Fold] λ = 0.02069 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.146947
[K_Fold] λ = 0.04833 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.148628
[K_Fold] λ = 0.11288 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.146207
[K_Fold] λ = 0.26367 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.147040
[K_Fold] λ = 0.61585 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.146577
[K_Fold] λ = 1.43845 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.147302
[K_Fold] λ = 3.35982 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.148566
[K_Fold] λ = 7.84760 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.148812
[K_Fold] λ = 18.32981 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.145082
[K_Fold] λ = 42.81332 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.146192
[K_Fold] λ = 100.00000 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.146993
[K_Fold] λ = 0.00001 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.578679
[K_Fold] λ = 0.00002 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.578788
[K_Fold] λ = 0.00005 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.572759
[K_Fold] λ = 0.00013 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.570785
[K_Fold] λ = 0.00030 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.576648
[K_Fold] λ = 0.00070 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.583228
[K_Fold] λ = 0.00162 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.580036
[K_Fold] λ = 0.00379 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.571910
[K_Fold] λ = 0.00886 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.574870
[K_Fold] λ = 0.02069 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.572403
[K_Fold] λ = 0.04833 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.565729
[K_Fold] λ = 0.11288 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.573252
[K_Fold] λ = 0.26367 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.587559
[K_Fold] λ = 0.61585 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.572374
[K_Fold] λ = 1.43845 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.570785
[K_Fold] λ = 3.35982 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.562522
[K_Fold] λ = 7.84760 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.589257
[K_Fold] λ = 18.32981 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.583119
[K_Fold] λ = 42.81332 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.580196
[K_Fold] λ = 100.00000 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.589889
[K_Fold] λ = 0.00001 , pi_t = 0.5 , prior = 0.1 , minDCF = 0.256799
