LR_Training_5fold_piT5
[K_Fold] λ = 0.000010 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.116728
[K_Fold] λ = 0.000023 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.116466
[K_Fold] λ = 0.000055 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.116096
[K_Fold] λ = 0.000127 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.114492
[K_Fold] λ = 0.000298 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.115772
[K_Fold] λ = 0.000695 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.117406
[K_Fold] λ = 0.001624 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.122062
[K_Fold] λ = 0.003793 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.127598
[K_Fold] λ = 0.008859 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.136401
[K_Fold] λ = 0.020691 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.142660
[K_Fold] λ = 0.048329 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.146129
[K_Fold] λ = 0.112884 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.152172
[K_Fold] λ = 0.263665 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.159202
[K_Fold] λ = 0.615848 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.159758
[K_Fold] λ = 1.438450 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.160483
[K_Fold] λ = 3.359818 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.163367
[K_Fold] λ = 7.847600 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.163783
[K_Fold] λ = 18.329807 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.164337
[K_Fold] λ = 42.813324 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.163798
[K_Fold] λ = 100.000000 , pi_t = 0.5 , prior = 0.5 , minDCF = 0.173203
[K_Fold] λ = 0.000010 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.525057
[K_Fold] λ = 0.000023 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.525057
[K_Fold] λ = 0.000055 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.524317
[K_Fold] λ = 0.000127 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.523824
[K_Fold] λ = 0.000298 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.523592
[K_Fold] λ = 0.000695 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.537376
[K_Fold] λ = 0.001624 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.543420
[K_Fold] λ = 0.003793 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.577286
[K_Fold] λ = 0.008859 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.582038
[K_Fold] λ = 0.020691 , pi_t = 0.5 , prior = 0.9 , minDCF = 0.605682
